id,nama,lon,lat,jenis,n_ayam,n_uji,positif,prev,biosekuriti,jarak_pasar
1,Peternakan-001,112.181089,-8.122493,Broiler,9059,37,1,0.027,0.64,9.2
2,Peternakan-002,112.38275,-7.985954,Broiler,9050,58,1,0.017,0.81,26.8
3,Peternakan-003,112.306198,-7.975019,Layer,9059,54,3,0.056,0.71,19.4
4,Peternakan-004,112.25953,-8.020906,Layer,130836,59,3,0.051,0.76,11.0
5,Peternakan-005,112.104607,-7.972678,Broiler,9473,29,5,0.172,0.4,10.0
6,Peternakan-006,112.104598,-8.036427,Layer,14883,51,7,0.137,0.32,6.3
7,Peternakan-007,112.070329,-8.029771,Layer,12871,58,5,0.086,0.73,12.0
8,Peternakan-008,112.353162,-8.051666,Broiler,10103,31,1,0.032,0.76,24.5
9,Peternakan-009,112.26039,-8.144154,Broiler,4662,27,0,0.0,0.89,20.4
10,Peternakan-010,112.297825,-8.125185,Broiler,11011,51,5,0.098,0.49,16.9
11,Peternakan-011,112.057205,-8.142771,Broiler,3233,45,5,0.111,0.46,16.3
12,Peternakan-012,112.389468,-8.003626,Layer,4964,54,1,0.019,0.74,27.4
13,Peternakan-013,112.341355,-8.077698,Layer,4069,30,1,0.033,0.44,25.8
14,Peternakan-014,112.124319,-8.033029,Layer,6406,53,3,0.057,0.85,1.8
15,Peternakan-015,112.113639,-7.94126,Broiler,38225,32,0,0.0,0.8,11.0
16,Peternakan-016,112.114192,-8.092663,Broiler,1347,31,1,0.032,0.5,5.0
17,Peternakan-017,112.156485,-8.055612,Layer,10389,31,8,0.258,0.73,0.3
18,Peternakan-018,112.233665,-7.976223,Layer,1651,54,0,0.0,0.73,11.3
19,Peternakan-019,112.201181,-8.097376,Layer,4113,48,11,0.229,0.27,6.2
20,Peternakan-020,112.15193,-8.132295,Layer,14338,43,1,0.023,0.83,9.4
21,Peternakan-021,112.264149,-8.083357,Layer,6317,38,2,0.053,0.55,13.9
22,Peternakan-022,112.098823,-8.112919,Broiler,2533,56,4,0.071,0.78,12.8
23,Peternakan-023,112.152251,-7.93617,Broiler,3386,39,6,0.154,0.42,14.5
24,Peternakan-024,112.178227,-7.964132,Layer,10334,54,2,0.037,0.83,8.9
25,Peternakan-025,112.209624,-8.004317,Layer,3345,40,5,0.125,0.47,6.5
26,Peternakan-026,112.324812,-7.949564,Broiler,7134,38,2,0.053,0.21,23.4
27,Peternakan-027,112.119886,-7.965155,Broiler,6223,41,0,0.0,0.83,7.4
28,Peternakan-028,112.229982,-8.107089,Layer,3563,36,4,0.111,0.26,14.6
29,Peternakan-029,112.257345,-7.944711,Broiler,33345,51,1,0.02,0.42,19.0
30,Peternakan-030,112.066258,-8.025951,Broiler,9963,43,0,0.0,0.87,8.7
31,Peternakan-031,112.262641,-7.964289,Broiler,1187,33,0,0.0,0.87,12.3
32,Peternakan-032,112.109683,-7.943899,Layer,6965,56,1,0.018,0.6,15.3
33,Peternakan-033,112.072768,-8.076859,Layer,3534,38,6,0.158,0.64,8.8
34,Peternakan-034,112.38211,-8.124688,Broiler,11866,44,1,0.023,0.51,29.5
35,Peternakan-035,112.387971,-8.097575,Layer,3183,57,3,0.053,0.41,23.7
36,Peternakan-036,112.332939,-8.051765,Broiler,5474,47,5,0.106,0.43,19.1
37,Peternakan-037,112.156615,-7.961857,Broiler,8987,29,0,0.0,0.67,9.8
38,Peternakan-038,112.084185,-7.952032,Layer,11993,58,2,0.034,0.73,13.2
39,Peternakan-039,112.289482,-8.148401,Layer,2297,47,1,0.021,0.75,18.0
40,Peternakan-040,112.204053,-8.032528,Layer,4591,37,5,0.135,0.75,7.6
41,Peternakan-041,112.092713,-8.053995,Layer,4103,30,3,0.1,0.26,4.2
42,Peternakan-042,112.223312,-8.098915,Broiler,3558,53,3,0.057,0.55,9.5
43,Peternakan-043,112.062036,-8.122431,Broiler,24634,47,2,0.043,0.24,12.9
44,Peternakan-044,112.368262,-8.072349,Broiler,8296,44,4,0.091,0.58,25.4
45,Peternakan-045,112.140573,-7.933131,Broiler,2188,56,4,0.071,0.51,14.4
46,Peternakan-046,112.281883,-8.075663,Broiler,12504,53,3,0.057,0.82,12.7
47,Peternakan-047,112.159099,-8.030678,Layer,32769,30,3,0.1,0.45,0.3
48,Peternakan-048,112.232024,-7.988306,Broiler,13705,36,6,0.167,0.28,13.9
49,Peternakan-049,112.241349,-8.066365,Layer,1779,34,2,0.059,0.3,11.0
50,Peternakan-050,112.114699,-7.92649,Layer,4073,51,3,0.059,0.73,12.8
51,Peternakan-051,112.389355,-7.928637,Layer,16532,26,0,0.0,0.63,32.9
52,Peternakan-052,112.321296,-8.09209,Broiler,3406,45,1,0.022,0.27,19.8
53,Peternakan-053,112.378825,-8.035633,Broiler,8558,52,1,0.019,0.26,27.8
54,Peternakan-054,112.36319,-8.080798,Broiler,11150,56,1,0.018,0.69,24.0
55,Peternakan-055,112.259265,-8.084487,Broiler,2858,37,4,0.108,0.25,16.8
56,Peternakan-056,112.372656,-8.141516,Layer,5721,54,0,0.0,0.78,30.2
57,Peternakan-057,112.080972,-8.0098,Broiler,449,29,2,0.069,0.69,8.4
58,Peternakan-058,112.118594,-8.034384,Broiler,2644,55,12,0.218,0.26,5.8
59,Peternakan-059,112.06583,-8.13816,Layer,4902,29,3,0.103,0.26,14.8
